Date,Open,High,Low,Close,Adj Close,Volume
06/11/2017,109.559998,109.610001,108.970001,108.989998,106.815887,10282000
13/11/2017,109.110001,109.389999,108.959999,109.309998,107.129494,12644400
20/11/2017,109.230003,109.559998,109.18,109.529999,107.345108,12734100
27/11/2017,109.529999,109.629997,108.849998,109.160004,106.982498,17625400
04/12/2017,109.029999,109.519997,109,109.190002,107.238998,12883200
11/12/2017,109.139999,109.550003,108.949997,109.470001,107.514,15394100
18/12/2017,109.470001,109.470001,108.709999,108.870003,106.924721,16965000
25/12/2017,108.910004,109.389999,108.870003,109.330002,107.376488,9629100
01/01/2018,109.260002,109.309998,108.949997,109.040001,107.09169,18560900
08/01/2018,109.110001,109.110001,108.43,108.739998,106.797028,16966400
15/01/2018,108.870003,108.980003,108.139999,108.18,106.24704,15736700
22/01/2018,108.220001,108.57,108.110001,108.370003,106.433655,24780700
29/01/2018,108.139999,108.25,107.099998,107.199997,105.284546,30158900
05/02/2018,107.129997,107.809998,106.699997,106.760002,105.087677,26826400
12/02/2018,106.739998,106.949997,106.400002,106.800003,105.127052,20522400
19/02/2018,106.690002,106.800003,106.260002,106.629997,104.959717,11014700
26/02/2018,106.879997,106.949997,106.360001,106.459999,104.792381,30988900
05/03/2018,106.599998,106.650002,106.279999,106.370003,104.934753,14753600
12/03/2018,106.43,106.849998,106.370003,106.699997,105.260284,15601600
19/03/2018,106.559998,106.800003,106.080002,106.610001,105.171516,15211400
26/03/2018,106.639999,107.260002,106.470001,107.25,105.802879,23001400
02/04/2018,106.900002,107.040001,106.629997,106.910004,105.467468,28804600
09/04/2018,106.830002,107.059998,106.669998,106.800003,105.598213,21951000
16/04/2018,106.639999,106.889999,106,106,104.807213,22206600
23/04/2018,105.980003,106.040001,105.599998,105.980003,104.787437,18524800
30/04/2018,106.010002,106.120003,105.599998,105.860001,104.668777,17096700
07/05/2018,105.879997,105.900002,105.519997,105.860001,104.906303,10763400
14/05/2018,105.790001,105.849998,105,105.300003,104.351357,11767500
21/05/2018,105.279999,106.18,105.239998,106.120003,105.163963,15540900
28/05/2018,106.370003,107,105.910004,106.080002,105.124329,17394500
04/06/2018,106,106.120003,105.580002,105.75,105.042976,14967300
11/06/2018,105.650002,106.089996,105.379997,105.879997,105.172112,18555900
18/06/2018,105.93,106.110001,105.790001,105.940002,105.231712,11688700
25/06/2018,105.949997,106.419998,105.860001,106.32,105.609177,20105600
02/07/2018,106.099998,106.449997,105.989998,106.419998,105.708496,14923600
09/07/2018,106.290001,106.519997,106.190002,106.510002,106.026268,14073400
16/07/2018,106.349998,106.550003,106.199997,106.269997,105.787354,11924900
23/07/2018,106.169998,106.190002,105.889999,106.080002,105.598221,13639400
30/07/2018,105.940002,106.18,105.510002,105.970001,105.488716,22195200
06/08/2018,106.029999,106.360001,105.800003,106.230003,105.998398,15111800
13/08/2018,106.160004,106.550003,106.150002,106.459999,106.22789,18255700
20/08/2018,106.589996,106.730003,106.489998,106.730003,106.497307,12598800
27/08/2018,106.589996,106.660004,106.290001,106.410004,106.178009,14695900
03/09/2018,106.019997,106.269997,105.809998,105.809998,105.579308,10772400
10/09/2018,105.849998,105.949997,105.699997,105.800003,105.800003,12146300
